pointid,grid_code,b1_tca_med,b2_tca_med,b3_tca_med,b4_tca_med,b5_tca_med,b6_tca_med,b7_tca_med,b8_tca_med,b9_tca_med,b10_tca_me,b11_tca_me,b12_tca_me,b13_tca_me,b14_tca_me,b15_tca_me,b16_tca_me,b17_tca_me,b18_tca_me,b19_tca_me,b20_tca_me,b21_tca_me,b22_tca_me,b23_tca_me,b24_tca_me,b25_tca_me,b26_tca_me,b27_tca_me,b28_tca_me,b29_tca_me,b30_tca_me,b31_tca_me,b32_tca_me,b33_tca_me,b34_tca_me,b35_tca_me,b36_tca_me,b37_tca_me,b38_tca_me,b39_tca_me,b40_tca_me,b41_tca_me,b42_tca_me,b43_tca_me,b44_tca_me,b45_tca_me,b46_tca_me,geometry
12112,0.881785,3706,3828,3664,3784,3550,3803,3674,3598,3759,3756,3894,3834,3924,3881,3726,0,3982,3937,4010,3799,3823,3848,3919,3944,4041,0,3530,3713,3921,3960,3709,4019,3893,4018,3981,3928,4061,3791,3951,3996,3880,3835,3938,3951,3752,3994,POINT Z (571200 4865340 0)
12113,0.884278,3734,3833,3585,3790,3674,3812,3675,3593,3766,3727,3927,3848,3986,3876,3750,0,3948,3927,3992,3798,3854,3816,3930,3972,4072,0,3546,3828,3890,4000,3764,4048,3923,3918,3984,3975,4083,3852,3938,3994,3871,3902,3954,3931,3781,3974,POINT Z (571230 4865340 0)
12114,0.884434,3749,3873,3666,3809,3746,3853,3689,3618,3807,3748,3971,3832,3982,3853,3802,0,3890,3867,4020,3770,3853,3816,3914,3954,4094,0,3581,3714,3902,3982,3840,4022,3916,3990,3998,4012,4083,3845,3962,3985,3765,3681,3851,3204,3698,3916,POINT Z (571260 4865340 0)
12406,0.879503,3739,3864,3711,3837,3530,3776,3674,3656,3728,3812,3972,3846,3961,3885,3758,0,3972,3909,4010,3803,3812,3838,3934,3966,4011,0,3536,3703,3884,4016,3734,3996,3898,4018,3978,3876,4001,3836,3883,3925,3825,3880,3932,3956,3756,3976,POINT Z (571200 4865310 0)
12407,0.881051,3785,3902,3673,3798,3659,3816,3734,3654,3842,3816,3966,3814,4006,3936,3814,0,3962,3932,4036,3808,3893,3872,3996,4010,4096,0,3584,3826,3908,4068,3810,4038,3921,3971,4007,3949,4034,3832,3932,3929,3854,3924,3960,3974,3773,3998,POINT Z (571230 4865310 0)
12408,0.882202,3803,3951,3737,3808,3742,3884,3767,3708,3877,3891,3977,3867,4034,3883,3856,0,3989,3936,4061,3798,3908,3848,3966,4054,4138,0,3621,3862,3901,4033,3812,4040,3916,3955,4002,3952,3991,3805,3918,4022,3858,3894,3951,3938,3776,4002,POINT Z (571260 4865310 0)
12703,0.863856,3760,3914,3747,3871,3469,3802,3764,3690,3743,3786,3993,3864,3980,3870,3783,0,3999,3858,3996,3828,3864,3865,3964,4005,4072,2975,3595,3804,3944,4040,3790,4040,3929,4014,4014,3902,4003,3711,3868,3913,3724,4011,4030,4087,3830,4076,POINT Z (571200 4865280 0)
12704,0.87996,3786,3946,3719,3820,3651,3813,3767,3694,3821,3796,3956,3863,4002,3908,3840,0,4016,3918,4016,3802,3922,3886,3949,3993,4098,0,3616,3948,3906,4030,3796,4010,3871,3994,4004,3966,4029,3737,3864,3961,3848,3953,3942,4004,3789,4030,POINT Z (571230 4865280 0)
12705,0.881218,3805,3990,3741,3800,3748,3883,3806,3761,3846,3916,3940,3894,4062,3940,3873,0,4037,3973,4064,3817,3909,3867,3950,4033,4088,0,3634,3844,3904,4010,3863,4056,3912,3965,4048,3936,4004,3781,3884,3978,3843,3889,3890,3958,3775,4003,POINT Z (571260 4865280 0)
44914,0.719154,2907,3495,3099,3397,2986,3315,3200,3291,3113,3596,3257,3310,3558,3436,3420,1950,3472,3584,3652,3566,3510,3530,3579,3637,3729,0,3514,3344,3781,3634,3262,3527,3347,3421,3516,3616,3713,3349,3583,3341,3168,3028,3302,3223,3008,2935,POINT Z (573960.015501 4862610 0)
